# Simulation Log
# Model: Delay Equation Model
# Timestamp: 2025-10-23 20:12:06
# Parameters: 
#   {
#       "catchStockingRate": 0.5,
#       "catchability": 2.0,
#       "fishPrice": 7.0,
#       "fishingCost": 1.0,
#       "initialFishMarketStock": 0.1,
#       "initialFishStock": 0.4,
#       "initialHarvestingEffort": 0.4,
#       "reproductionRate": 1.0,
#       "simulationYears": 20,
#       "stepsPerYear": 100,
#       "stockReturnRate": 2.0
#   }
# 
Time_Year,Population_n,Effort_E,MarketStock_S
2.02000000,0.00186889,1.33398043,0.01899228
2.03000000,0.00183768,1.32347406,0.01863737
2.04000000,0.00180738,1.31301880,0.01828894
2.05000000,0.00177796,1.30261518,0.01794690
2.06000000,0.00174939,1.29226371,0.01761112
2.07000000,0.00172164,1.28196488,0.01728150
2.08000000,0.00169468,1.27171914,0.01695794
2.09000000,0.00166850,1.26152692,0.01664034
2.10000000,0.00164306,1.25138864,0.01632858
2.11000000,0.00161834,1.24130468,0.01602257
2.12000000,0.00159432,1.23127541,0.01572220
2.13000000,0.00157098,1.22130118,0.01542739
2.14000000,0.00154829,1.21138231,0.01513803
2.15000000,0.00152624,1.20151910,0.01485402
2.16000000,0.00150480,1.19171184,0.01457528
2.17000000,0.00148396,1.18196079,0.01430171
2.18000000,0.00146370,1.17226620,0.01403321
2.19000000,0.00144400,1.16262829,0.01376971
2.20000000,0.00142484,1.15304729,0.01351110
2.21000000,0.00140621,1.14352337,0.01325731
2.22000000,0.00138809,1.13405673,0.01300824
2.23000000,0.00137047,1.12464751,0.01276382
2.24000000,0.00135333,1.11529586,0.01252396
2.25000000,0.00133666,1.10600191,0.01228857
2.26000000,0.00132044,1.09676577,0.01205758
2.27000000,0.00130466,1.08758755,0.01183091
2.28000000,0.00128931,1.07846733,0.01160849
2.29000000,0.00127438,1.06940518,0.01139022
2.30000000,0.00125985,1.06040115,0.01117604
2.31000000,0.00124571,1.05145530,0.01096588
2.32000000,0.00123196,1.04256766,0.01075966
2.33000000,0.00121858,1.03373825,0.01055731
2.34000000,0.00120555,1.02496707,0.01035876
2.35000000,0.00119288,1.01625412,0.01016395
2.36000000,0.00118055,1.00759939,0.00997279
2.37000000,0.00116855,0.99900285,0.00978523
2.38000000,0.00115688,0.99046447,0.00960120
2.39000000,0.00114551,0.98198420,0.00942063
2.40000000,0.00113446,0.97356199,0.00924347
2.41000000,0.00112370,0.96519777,0.00906964
2.42000000,0.00111323,0.95689146,0.00889910
2.43000000,0.00110305,0.94864299,0.00873177
2.44000000,0.00109314,0.94045226,0.00856760
2.45000000,0.00108350,0.93231916,0.00840653
2.46000000,0.00107412,0.92424359,0.00824850
2.47000000,0.00106499,0.91622544,0.00809345
2.48000000,0.00105611,0.90826457,0.00794134
2.49000000,0.00104748,0.90036086,0.00779211
2.50000000,0.00103908,0.89251417,0.00764570
2.51000000,0.00103091,0.88472434,0.00750206
2.52000000,0.00102297,0.87699123,0.00736114
2.53000000,0.00101525,0.86931468,0.00722289
2.54000000,0.00100774,0.86169451,0.00708725
2.55000000,0.00100044,0.85413057,0.00695419
2.56000000,0.00099334,0.84662266,0.00682365
2.57000000,0.00098645,0.83917062,0.00669559
2.58000000,0.00097975,0.83177424,0.00656996
2.59000000,0.00097323,0.82443334,0.00644671
2.60000000,0.00096691,0.81714771,0.00632580
2.61000000,0.00096077,0.80991715,0.00620718
2.62000000,0.00095480,0.80274145,0.00609082
2.63000000,0.00094901,0.79562041,0.00597667
2.64000000,0.00094339,0.78855379,0.00586468
2.65000000,0.00093794,0.78154138,0.00575483
2.66000000,0.00093265,0.77458296,0.00564706
2.67000000,0.00092752,0.76767828,0.00554135
2.68000000,0.00092254,0.76082713,0.00543764
2.69000000,0.00091772,0.75402926,0.00533591
2.70000000,0.00091305,0.74728444,0.00523611
2.71000000,0.00090853,0.74059241,0.00513821
2.72000000,0.00090415,0.73395293,0.00504217
2.73000000,0.00089991,0.72736576,0.00494797
2.74000000,0.00089581,0.72083064,0.00485555
2.75000000,0.00089185,0.71434731,0.00476490
2.76000000,0.00088801,0.70791552,0.00467597
2.77000000,0.00088431,0.70153500,0.00458874
2.78000000,0.00088074,0.69520550,0.00450317
2.79000000,0.00087730,0.68892675,0.00441923
2.80000000,0.00087397,0.68269848,0.00433689
2.81000000,0.00087077,0.67652043,0.00425611
2.82000000,0.00086769,0.67039232,0.00417688
2.83000000,0.00086473,0.66431388,0.00409916
2.84000000,0.00086188,0.65828483,0.00402292
2.85000000,0.00085914,0.65230491,0.00394814
2.86000000,0.00085652,0.64637383,0.00387478
2.87000000,0.00085400,0.64049131,0.00380282
2.88000000,0.00085159,0.63465708,0.00373223
2.89000000,0.00084929,0.62887086,0.00366299
2.90000000,0.00084710,0.62313236,0.00359508
2.91000000,0.00084500,0.61744129,0.00352845
2.92000000,0.00084301,0.61179739,0.00346310
2.93000000,0.00084112,0.60620035,0.00339900
2.94000000,0.00083933,0.60064990,0.00333612
2.95000000,0.00083763,0.59514574,0.00327443
2.96000000,0.00083603,0.58968760,0.00321393
2.97000000,0.00083452,0.58427519,0.00315458
2.98000000,0.00083311,0.57890821,0.00309637
2.99000000,0.00083179,0.57358638,0.00303926
3.00000000,0.00083056,0.56830941,0.00298325
3.01000000,0.00082941,0.56307701,0.00292830
3.02000000,0.00082836,0.55788889,0.00287441
3.03000000,0.00082739,0.55274477,0.00282154
3.04000000,0.00082652,0.54764435,0.00276968
3.05000000,0.00082572,0.54258735,0.00271882
3.06000000,0.00082501,0.53757347,0.00266892
3.07000000,0.00082438,0.53260243,0.00261998
3.08000000,0.00082384,0.52767394,0.00257197
3.09000000,0.00082338,0.52278770,0.00252488
3.10000000,0.00082299,0.51794344,0.00247868
3.11000000,0.00082269,0.51314086,0.00243337
3.12000000,0.00082247,0.50837968,0.00238893
3.13000000,0.00082233,0.50365960,0.00234533
3.14000000,0.00082226,0.49898034,0.00230256
3.15000000,0.00082227,0.49434161,0.00226062
3.16000000,0.00082235,0.48974314,0.00221947
3.17000000,0.00082252,0.48518462,0.00217911
3.18000000,0.00082275,0.48066579,0.00213951
3.19000000,0.00082306,0.47618634,0.00210068
3.20000000,0.00082345,0.47174601,0.00206258
3.21000000,0.00082391,0.46734451,0.00202522
3.22000000,0.00082444,0.46298154,0.00198856
3.23000000,0.00082504,0.45865685,0.00195261
3.24000000,0.00082572,0.45437013,0.00191734
3.25000000,0.00082647,0.45012112,0.00188275
3.26000000,0.00082728,0.44590954,0.00184881
3.27000000,0.00082817,0.44173510,0.00181552
3.28000000,0.00082913,0.43759753,0.00178287
3.29000000,0.00083016,0.43349655,0.00175084
3.30000000,0.00083125,0.42943189,0.00171942
3.31000000,0.00083242,0.42540328,0.00168861
3.32000000,0.00083366,0.42141044,0.00165837
3.33000000,0.00083496,0.41745310,0.00162872
3.34000000,0.00083633,0.41353099,0.00159963
3.35000000,0.00083777,0.40964384,0.00157110
3.36000000,0.00083928,0.40579138,0.00154311
3.37000000,0.00084085,0.40197334,0.00151565
3.38000000,0.00084249,0.39818946,0.00148872
3.39000000,0.00084420,0.39443947,0.00146230
3.40000000,0.00084598,0.39072310,0.00143638
3.41000000,0.00084782,0.38704010,0.00141096
3.42000000,0.00084973,0.38339021,0.00138602
3.43000000,0.00085170,0.37977315,0.00136156
3.44000000,0.00085374,0.37618868,0.00133756
3.45000000,0.00085585,0.37263653,0.00131402
3.46000000,0.00085802,0.36911646,0.00129093
3.47000000,0.00086026,0.36562819,0.00126828
3.48000000,0.00086256,0.36217149,0.00124606
3.49000000,0.00086493,0.35874609,0.00122426
